"","genes","baseMean","log2FoldChange","lfcSE","pvalue","padj","ensembl_gene_id","entrezgene_id"
"98","Ndn",4836.5087515603,-0.723006290979521,0.128820092467402,1.56126685663963e-09,2.19759678520014e-07,"ENSMUSG00000033585",17984
"99","Pcsk6",2781.18058836804,1.1588314422538,0.208618727752465,1.92147334828911e-09,2.6786077503361e-07,"ENSMUSG00000030513",18553
"100","Trak2",1402.30423668318,-1.03909044448695,0.188715886623541,1.9830541441998e-09,2.73812561739131e-07,"ENSMUSG00000026028",70827
"101","Kmt2d",1307.39873970404,-0.850306305388808,0.153944669807404,2.20414407873803e-09,3.01468687297585e-07,"ENSMUSG00000048154",381022
"102","Zbtb44",1295.61010001366,-1.14067153574875,0.209208835465924,2.47048523893388e-09,3.34739205551994e-07,"ENSMUSG00000047412",235132
"103","Kif2a",827.327368096312,-0.822790374703624,0.14954483627778,2.57931947878381e-09,3.4624975743896e-07,"ENSMUSG00000021693",16563
"104","Kcnd3",1045.05815443449,-1.13533541859094,0.208735972329387,2.73078041211331e-09,3.63218847842374e-07,"ENSMUSG00000040896",56543
"105","Nav3",792.596524710968,-1.04936930869804,0.193621488351143,3.2158419823302e-09,4.20029523061471e-07,"ENSMUSG00000020181",260315
"106","Csf1r",1707.87257436944,-0.91661163619203,0.170264266326728,3.36060664234653e-09,4.35018527685179e-07,"ENSMUSG00000024621",12978
"107","Pls1",1986.1210851335,0.792180168974833,0.144653435023474,3.74633946964875e-09,4.80658669300598e-07,"ENSMUSG00000049493",102502
"108","Zyg11b",1509.21909387638,-0.935989937994017,0.173602844894005,4.11423908563461e-09,5.23230160206409e-07,"ENSMUSG00000034636",414872
"109","Pigz",1203.49248693041,0.836039369118061,0.153750484709871,4.42000230209723e-09,5.57227768485266e-07,"ENSMUSG00000045625",239827
"110","Cdc42ep1",5709.00777793617,0.793244780164496,0.145429701044618,4.4891603864228e-09,5.61067648985843e-07,"ENSMUSG00000049521",104445
"111","Zcchc2",381.252992660381,1.07345562882463,0.198764468041327,4.61473525977768e-09,5.66986710137769e-07,"ENSMUSG00000038866",227449
"112","Snhg11",1210.72252227985,-1.11383570375039,0.208441434759867,4.59607839582498e-09,5.66986710137769e-07,"ENSMUSG00000044349",319317
"113","Hes1",1435.08552944889,0.946183489376455,0.175433791473914,5.22768946878323e-09,6.36899511919489e-07,"ENSMUSG00000022528",15205
"114","Plk3",2587.58014592298,0.770903219223261,0.142231777367029,5.40106699261458e-09,6.52538910491052e-07,"ENSMUSG00000028680",12795
"115","Idua",3168.95200388768,0.713495424737719,0.131520297283956,5.53377247621123e-09,6.63046556695127e-07,"ENSMUSG00000033540",15932
"116","Aff1",631.952963725873,-0.857700941779567,0.160124039981921,5.61299497550607e-09,6.67026238974483e-07,"ENSMUSG00000029313",17355
"117","Dchs1",2002.05959863954,-0.781235025354608,0.145720392705385,5.88677581599737e-09,6.9387378683195e-07,"ENSMUSG00000036862",233651
"118","Tmem151a",17990.5015199511,0.642506644516205,0.118917674823424,6.34283898454272e-09,7.41600641918551e-07,"ENSMUSG00000061451",381199
"119","Marveld1",1023.15242626109,0.811555393775797,0.151029072093922,6.48246303683018e-09,7.51861992863711e-07,"ENSMUSG00000044345",277010
"120","Tmem127",3447.41204471133,-0.721788416453911,0.134711158366675,6.55230878223133e-09,7.53931529561824e-07,"ENSMUSG00000034850",69470
"121","St8sia4",602.590448782538,-0.920809147199367,0.173731487904839,7.04374110777927e-09,8.04095736854991e-07,"ENSMUSG00000040710",20452
"122","Shisa8",1174.87711781773,0.917835437852452,0.171950738884074,7.15619200682171e-09,8.10550560272665e-07,"ENSMUSG00000096883",435145
"123","Syt1",829.78677736998,-0.91447151923116,0.172846868227473,7.38774226380866e-09,8.30290599540295e-07,"ENSMUSG00000035864",20979
"124","Fam181a",893.528381375117,1.01250999457175,0.190561175700052,7.76063922884796e-09,8.61084223711173e-07,"ENSMUSG00000096753",100504156
"125","Smyd1",93.510695994169,-2.2487780683489,0.431998991196568,7.78052374852833e-09,8.61084223711173e-07,"ENSMUSG00000055027",12180
"126","Fam43a",782.369572926812,-1.02318844665447,0.194853065613084,8.22884480637458e-09,9.03801454566808e-07,"ENSMUSG00000046546",224093
"127","Mal",52986.4807423594,0.654128422964102,0.122265997571438,8.4883556085234e-09,9.25294583551671e-07,"ENSMUSG00000027375",17153
"128","Phlda3",4318.00429360175,0.609510697893636,0.113394185063463,8.67817164466506e-09,9.38926361972792e-07,"ENSMUSG00000041801",27280
"129","Slco3a1",900.074090922636,0.81427311120282,0.153291838748932,9.09337328886063e-09,9.76560932902974e-07,"ENSMUSG00000025790",108116
"130","Efna1",438.380642629114,0.923173456108567,0.174687711703253,9.42312430203256e-09,1.00120868330342e-06,"ENSMUSG00000027954",13636
"131","Cryab",7877.93719627708,1.05651075224272,0.200089542605271,9.46100080097724e-09,1.00120868330342e-06,"ENSMUSG00000032060",12955
"132","Rab3c",359.041130733441,-1.01839840172449,0.19507218173743,1.00943913697657e-08,1.06049627593379e-06,"ENSMUSG00000021700",67295
"133","Apc",4732.99968233601,-0.905622448417364,0.173751502679161,1.07449425311394e-08,1.12072069652129e-06,"ENSMUSG00000005871",11789
"134","Mif4gd",2610.63879437665,0.674480071349286,0.12699388828132,1.09710381761635e-08,1.13612936770013e-06,"ENSMUSG00000020743",69674
"135","Nedd9",1712.31163740903,-0.783847591462828,0.149495545470268,1.11314661426074e-08,1.14456734847888e-06,"ENSMUSG00000021365",18003
"136","Mex3d",2864.37417983484,0.915674448085858,0.174430872038376,1.1773830669266e-08,1.19368529400712e-06,"ENSMUSG00000048696",237400
"137","Mog",31396.1654852685,0.59825851962683,0.112573924401755,1.1767074093588e-08,1.19368529400712e-06,"ENSMUSG00000076439",17441
"138","Adarb2",808.40708174656,-1.21489780944092,0.235870037641248,1.21562712248659e-08,1.22390014040351e-06,"ENSMUSG00000052551",94191
"139","Gria1",1384.8427400931,-0.891716027245423,0.171722857788264,1.27294747438712e-08,1.27277189542513e-06,"ENSMUSG00000020524",14799
"140","9330117O12Rik",55.6185260983856,2.1750674288397,0.421120818257521,1.3688745608829e-08,1.35931119066304e-06,"ENSMUSG00000118154",328957
"141","Ttyh2",2893.82706695982,0.683995060827084,0.130542576446634,1.59730230531875e-08,1.57535298112321e-06,"ENSMUSG00000034714",117160
"142","Tmem242",1034.34867460394,-1.12169438001764,0.219598709866897,1.61656154016415e-08,1.58357494657432e-06,"ENSMUSG00000004945",70544
"143","Alcam",2533.91234186863,-0.88101550497097,0.171039434778372,1.66519787371509e-08,1.62027105859875e-06,"ENSMUSG00000022636",11658
"144","Creb1",2325.00458924462,-0.801925245571622,0.155455669857611,1.69213878314777e-08,1.63550853853843e-06,"ENSMUSG00000025958",12912
"145","Vtn",570.646721900272,-1.14194784062211,0.224039718897478,1.72200702489723e-08,1.65335482430199e-06,"ENSMUSG00000017344",22370
"146","Smco3",1008.12221106197,0.810485938716046,0.156202008804181,1.75545962839432e-08,1.67438511134611e-06,"ENSMUSG00000043298",654818
"147","Ciart",642.659431481234,1.10915085148146,0.215537916294639,1.80650768306887e-08,1.67889412750849e-06,"ENSMUSG00000038550",229599
"148","Rsrp1",41350.6181343997,0.793895592487761,0.152929203328887,1.80622605252853e-08,1.67889412750849e-06,"ENSMUSG00000037266",27981
"149","Hif3a",770.126077723758,-1.19243025721344,0.234760725584648,1.78831219828339e-08,1.67889412750849e-06,"ENSMUSG00000004328",53417
"150","Otud7a",665.973315615633,0.974978572856883,0.188948651476678,1.80483271937314e-08,1.67889412750849e-06,"ENSMUSG00000033510",170711
"151","Ppp1r14a",1091.55903649306,1.0326259263666,0.200464007776654,1.82473102352223e-08,1.68163646222545e-06,"ENSMUSG00000037166",68458
"152","Kpna6",849.493254391774,-0.845003288433213,0.16482263039886,1.92291078019575e-08,1.75335600574076e-06,"ENSMUSG00000003731",16650
"153","Rxra",800.64620738523,0.762533011802776,0.148187807393849,2.34572091634588e-08,2.12551636532391e-06,"ENSMUSG00000015846",20181
"154","Tmem119",620.84841238502,-0.956317448550448,0.188793865123139,2.36294199686322e-08,2.12782192984615e-06,"ENSMUSG00000054675",231633
"155","Lims2",1476.19602096669,0.724047673297204,0.141320752085531,2.70734145349358e-08,2.42290348103394e-06,"ENSMUSG00000024395",225341
"156","Map3k19",489.132223396907,-1.13511997733084,0.226816250673123,2.83704002489706e-08,2.50801257810717e-06,"ENSMUSG00000051590",22625
"157","Adam23",1108.80128729605,-0.716371292207991,0.14159815412188,3.31012070882192e-08,2.90849272948486e-06,"ENSMUSG00000025964",23792
"158","Mpeg1",71.3365682144479,-2.15796129012195,0.438409577532605,3.62434748572775e-08,3.14645448192102e-06,"ENSMUSG00000046805",17476
"159","Slc6a11",20221.0699662911,-0.839858534564349,0.168626149823734,3.73078513294364e-08,3.21957874151291e-06,"ENSMUSG00000030307",243616
"160","Pigt",1129.25233480118,-0.807307429477565,0.161047116113873,3.81721016190786e-08,3.27466940398462e-06,"ENSMUSG00000017721",78928
"161","Rhou",2936.33927760368,0.709423497216867,0.140152224385073,3.91415359969383e-08,3.33808228755065e-06,"ENSMUSG00000039960",69581
